ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full Name,Publisher,Alignment,Gender,Race,Height,Weight,Eye_Color,Hair_Color,Work,Image
38,Aquaman,81,85,79,80,100,80,Orin,DC Comics,good,Male,Atlantean,185 cm,146 kg,Blue,Blond,"Protector of the Seas and Oceans, King of Poseidonis",https://www.superherodb.com/pictures2/portraits/10/100/634.jpg
39,Arachne,50,48,50,70,71,70,Julia Carpenter,Marvel Comics,good,Female,Human,175 cm,63 kg,Blue,Blond,"Adventurer, fugitive, former government agent",https://www.superherodb.com/pictures2/portraits/10/100/882.jpg
40,Archangel,63,13,58,64,35,42,Warren Kenneth Worthington III,Angel,good,Male,Mutant,183 cm,68 kg,Blue,Blond,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",https://www.superherodb.com/pictures2/portraits/10/100/838.jpg
41,Arclight,38,63,23,42,52,70,Philippa Sontag,Marvel Comics,bad,Female,null,173 cm,57 kg,Violet,Purple,Terrorist,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg
42,Ardina,63,100,100,80,100,25,Ardina,Marvel Comics,good,Female,Alien,193 cm,98 kg,White,Orange,-,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg
43,Ares,75,82,35,80,84,101,,Marvel Comics,good,Male,null,185 cm,270 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg
44,Ariel,50,10,12,14,94,28,Ariel,Marvel Comics,good,Female,null,165 cm,59 kg,Purple,Pink,"Leader, refugee alien; former alien mutant-hunter and hedonist",https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg
45,Armor,50,63,12,80,55,54,Hisako Ichiki,Marvel Comics,good,Female,null,163 cm,50 kg,Black,Black,"Adventurer, student",https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg
46,Arsenal,null,54,null,null,null,null,"Roy William Harper, Jr.",Speedy,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg
47,Astro Boy,null,90,null,null,null,null,Atom,null,good,Male,null,0 cm,0 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg
48,Atlas,63,80,25,100,98,50,Erik Josten,Goliath,good,Male,Mutant,183 cm,101 kg,Brown,Red,"Adventurer; former professional criminal, mercenary, dock worker, soldier",https://www.superherodb.com/pictures2/portraits/10/100/878.jpg
49,Atlas,63,100,42,100,27,80,,DC Comics,bad,Male,God / Eternal,198 cm,126 kg,Blue,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg
50,Atom,null,null,null,null,null,null,Albert Pratt,DC Comics,good,Male,null,178 cm,68 kg,Blue,Red,"Adventurer, Retired Professor of Nuclear Physics",https://www.superherodb.com/pictures2/portraits/10/100/934.jpg
51,Atom,null,null,null,null,null,null,,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg
52,Atom Girl,38,10,23,28,38,42,Salu Digby,DC Comics,good,Female,null,168 cm,54 kg,Black,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg
53,Atom II,88,10,33,45,40,60,Ray Palmer,DC Comics,good,Male,Human,183 cm,81 kg,Brown,Auburn,Physics Professor,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg
54,Atom III,null,null,null,null,null,null,Adam Cray,DC Comics,good,Male,null,0 cm,0 kg,-,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg
55,Atom IV,null,null,null,null,null,null,Ryan Choi,DC Comics,good,Male,null,0 cm,72 kg,Brown,Black,Professor of nuclear physics at Ivy University,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg
56,Aurora,63,10,96,60,74,56,Jeanne-Marie Beaubier,Marvel Comics,good,Female,Mutant,180 cm,63 kg,Blue,Black,"Adventurer; former terrorist, nun, history/geography teacher",https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg
57,Azazel,50,11,47,95,100,80,,Marvel Comics,bad,Male,Neyaphem,183 cm,67 kg,Yellow,Black,Leader of the Neyaphem,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg
58,Azrael,63,18,17,20,35,80,Michael Washington Lane,DC Comics,good,Male,Human,0 cm,0 kg,Brown,Black,"Former Police Officer, vigilante",https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg
59,Aztar,null,98,null,null,null,null,Aztar,Spectre,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg
60,Bane,88,38,23,56,51,95,,DC Comics,bad,Male,Human,203 cm,180 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg
61,Banshee,50,10,58,40,63,70,Sean Cassidy,Marvel Comics,good,Male,Human,183 cm,77 kg,Green,Strawberry Blond,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor",https://www.superherodb.com/pictures2/portraits/10/100/26.jpg
62,Bantam,25,53,23,54,21,56,Roberto Velasquez,Marvel Comics,good,Male,null,165 cm,54 kg,Brown,Black,"Adventurer, boxing trainer, former boxer",https://www.superherodb.com/pictures2/portraits/10/100/229.jpg
63,Batgirl,88,11,33,40,34,90,Barbara Gordon,Oracle,good,Female,Human,170 cm,57 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg
64,Batgirl,null,27,null,null,null,null,Mary Elizabeth Kane,Hawkfire,good,Female,null,0 cm,0 kg,-,-,Crime-fighter,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg
65,Batgirl III,null,43,null,null,null,null,Helena Rosa Bertinelli,Huntress,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg
66,Batgirl IV,69,12,27,56,46,100,Cassandra Cain,DC Comics,good,Female,Human,165 cm,52 kg,Green,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg
67,Batgirl V,null,null,null,null,null,null,Charlotte Gage-Radcliffe,Misfit,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg
68,Batgirl VI,75,10,23,28,22,80,Stephanie Brown,Spoiler,good,Female,null,168 cm,61 kg,Blue,Blond,College student at Gotham University,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg
69,Batman,81,40,29,55,63,90,Terry McGinnis,DC Comics,good,Male,Human,178 cm,77 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg
70,Batman,100,26,27,50,47,100,Bruce Wayne,DC Comics,good,Male,Human,188 cm,95 kg,blue,black,Businessman,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg
71,Batman II,88,11,33,28,36,100,Dick Grayson,Nightwing,good,Male,Human,178 cm,79 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg
72,Battlestar,50,53,35,74,48,74,Lemar Hoskins,Marvel Comics,good,Male,null,198 cm,133 kg,Brown,Black,"Former wrestler, federal operative",https://www.superherodb.com/pictures2/portraits/10/100/231.jpg
73,Batwoman V,81,8,29,25,27,80,Katherine Rebecca Kane,DC Comics,good,Female,Human,178 cm,0 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg
74,Beak,null,null,null,null,null,null,Barnell Bohusk,Marvel Comics,good,Male,null,175 cm,63 kg,Black,White,-,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg
75,Beast,94,48,38,60,43,85,Henry Philip McCoy,Marvel Comics,good,Male,Mutant,180 cm,181 kg,Blue,Blue,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler",https://www.superherodb.com/pictures2/portraits/10/100/27.jpg
76,Beast Boy,50,28,50,70,79,40,Garfield Mark Logan,DC Comics,good,Male,Human,173 cm,68 kg,Green,Green,"Adventurer, Struggling Actor",https://www.superherodb.com/pictures2/portraits/10/100/640.jpg
77,Beetle,null,54,null,null,null,null,,Marvel Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg
78,Ben 10,10,7,8,10,90,40,Benjamin Kirby Tennyson,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg
79,Beta Ray Bill,63,80,35,95,100,84,Beta Ray Bill (translation of his Korbinite name),Marvel Comics,good,Male,null,201 cm,216 kg,-,No Hair,Guardian of the Korbinite race,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg
80,Beyonder,100,100,100,100,100,84,,Marvel Comics,good,Male,God / Eternal,0 cm,0 kg,-,-,Former student,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg
81,Big Barda,88,100,79,100,100,100,Barda Free,DC Comics,bad,Female,New God,188 cm,135 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg
82,Big Daddy,38,10,12,32,22,64,Damon Macready,Icon Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg
83,Big Man,75,12,23,28,19,70,Frederick Foswell,Marvel Comics,bad,Male,null,165 cm,71 kg,Blue,Brown,"Reporter, professional criminal",https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg
84,Bill Harken,63,36,33,60,27,40,,SyFy,good,Male,Alpha,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg
85,Billy Kincaid,null,null,null,null,null,null,Billy Kincaid,Image Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg
86,Binary,null,null,null,null,null,null,Carol Danvers,Captain Marvel,good,Female,null,180 cm,54 kg,Blue,Blond,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",https://www.superherodb.com/pictures2/portraits/10/100/30.jpg
87,Bionic Woman,56,37,33,40,20,40,Jamie Sommers,,good,Female,Cyborg,0 cm,0 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg
88,Bird-Brain,25,10,35,28,21,42,,Marvel Comics,good,-,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg
89,Bird-Man,null,null,null,null,null,null,Henry Hawk,Marvel Comics,bad,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg
90,Bird-Man II,null,null,null,null,null,null,Achille DiBacco,Marvel Comics,bad,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg
91,Birdman,null,35,null,null,null,null,Ray Randal,Hanna-Barbera,good,Male,God / Eternal,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg
92,Bishop,63,14,23,75,100,65,Lucas Bishop,Marvel Comics,good,Male,Mutant,198 cm,124 kg,Brown,No Hair,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)",https://www.superherodb.com/pictures2/portraits/10/100/31.jpg
93,Bizarro,38,95,100,100,100,85,Bizarro,DC Comics,neutral,Male,Bizarro,191 cm,155 kg,Black,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg
94,Black Abbott,null,null,null,null,null,null,,Marvel Comics,bad,Male,null,0 cm,0 kg,Red,Black,"Cult leader, former monk",https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg
95,Black Adam,88,100,92,100,100,56,Teth-Adam,DC Comics,bad,Male,null,191 cm,113 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg
96,Black Bolt,75,67,100,84,100,56,Blackagar Boltagon,Marvel Comics,good,Male,Inhuman,188 cm,95 kg,Blue,Black,King of the Inhumans,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg
97,Black Canary,63,8,33,20,52,80,Laurel Lance,DC Comics,good,Female,Metahuman,170 cm,59 kg,Blue,Blond,"Detective/Crime-fighter, Chairperson of the Justice League of America; former florist, judo instructor",https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg
98,Black Canary,63,8,33,15,45,80,Dinah Drake Lance,DC Comics,good,Female,Human,165 cm,58 kg,Blue,Blond,"Florist, former private investigator",https://www.superherodb.com/pictures2/portraits/10/100/644.jpg
99,Black Cat,75,16,33,10,23,70,Felicia Hardy,Marvel Comics,good,Female,Human,178 cm,54 kg,Green,Blond,"Cat burglar; Private investigator, founder of Cat's Eye Investigations.",https://www.superherodb.com/pictures2/portraits/10/100/32.jpg
100,Black Flash,44,10,100,80,100,30,,DC Comics,neutral,Male,God / Eternal,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg
101,Black Goliath,null,null,null,null,null,null,,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg
102,Black Knight III,63,10,8,70,43,70,Dane Whitman,Marvel Comics,good,Male,Human,183 cm,86 kg,Brown,Brown,"Adventurer, scientist; former crusader",https://www.superherodb.com/pictures2/portraits/10/100/246.jpg
103,Black Lightning,50,11,53,28,70,75,Jefferson Pierce,DC Comics,good,Male,null,185 cm,90 kg,Brown,No Hair,"Crime Fighter, High School teacher, Former gold-medal-winning Olympic Decathlete, formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.",https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg
104,Black Mamba,75,10,35,42,88,65,Tanya Sealy,Marvel Comics,bad,Female,null,170 cm,52 kg,Green,Black,"Mercenary, professional criminal, former call girl",https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg
105,Black Manta,75,28,50,60,76,85,David,DC Comics,bad,Male,Human,188 cm,92 kg,Black,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg
106,Black Panther,88,16,30,60,41,100,T'Challa,Marvel Comics,good,Male,Human,183 cm,90 kg,Brown,Black,"King and Chieftain of Wakanda, scientist; former school teacher",https://www.superherodb.com/pictures2/portraits/10/100/247.jpg
107,Black Widow,75,13,33,30,36,100,Natasha Romanoff,Marvel Comics,good,Female,Human,170 cm,59 kg,Green,Auburn,"Adventurer, Intelligence agent, former ballerina",https://www.superherodb.com/pictures2/portraits/10/100/248.jpg
108,Black Widow II,null,48,null,null,null,null,Yelena Belova,Marvel Comics,good,Female,null,170 cm,61 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg
109,Blackout,63,32,45,80,45,65,,Marvel Comics,bad,Male,Demon,191 cm,104 kg,Red,White,"Assassin, enforcer",https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg
110,Blackwing,38,10,35,32,20,56,Joseph Manfredi,Marvel Comics,bad,Male,null,185 cm,86 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg
111,Blackwulf,50,28,8,30,69,25,Lucian,Marvel Comics,-,Male,Alien,188 cm,88 kg,Red,White,Freedom Fighter,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg
112,Blade,63,28,38,50,40,90,Eric Brooks,Marvel Comics,good,Male,Vampire,188 cm,97 kg,Brown,Black,"Vampire hunter, former private investigator.",https://www.superherodb.com/pictures2/portraits/10/100/33.jpg
113,Blaquesmith,null,null,null,null,null,null,-,Vertigo II,good,-,null,0 cm,0 kg,Black,No Hair,Inventor,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg
114,Bling!,69,14,12,90,52,28,Roxanne Washington,Marvel Comics,good,Female,null,168 cm,68 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg
115,Blink,50,8,20,28,77,64,Clarice Ferguson,Marvel Comics,good,Female,Mutant,165 cm,56 kg,Green,Magenta,"Adventurer, freedom fighter",https://www.superherodb.com/pictures2/portraits/10/100/35.jpg
116,Blizzard,null,null,null,null,null,null,Gregor Shapanka,Marvel Comics,bad,Male,null,0 cm,0 kg,-,Brown,"Professional criminal, mercenary, engineer, former scientist",https://www.superherodb.com/pictures2/portraits/10/100/899.jpg
117,Blizzard,null,72,null,null,null,null,,Marvel Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg
118,Blizzard II,38,10,27,42,47,56,Donald Gill,Marvel Comics,bad,Male,null,175 cm,77 kg,Brown,Brown,Adventurer; former mercenary and professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg
119,Blob,10,83,23,95,28,72,Frederick J. Dukes,Marvel Comics,bad,Male,null,178 cm,230 kg,Brown,Brown,"Former criminal, terrorist, government agent, carnival performer",https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg
120,Bloodaxe,63,80,33,80,100,84,Jackie Lukus,Marvel Comics,bad,Female,Human,218 cm,495 kg,Blue,Brown,"Architect, former vigilante",https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg
121,Bloodhawk,50,10,50,80,80,64,Lemuel Krug,Marvel Comics,good,Male,Mutant,0 cm,0 kg,Black,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg
122,Bloodwraith,null,72,null,null,null,null,Sean Dolan,Marvel Comics,bad,Male,null,30.5 meters,0 kg,White,No Hair,Former squire,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg
123,Blue Beetle,null,null,null,null,null,null,Daniel Garrett,DC Comics,good,Male,null,0 cm,0 kg,Blue,Brown,Archaeologist; professor of archaeology,https://www.superherodb.com/pictures2/portraits/10/100/646.jpg
124,Blue Beetle,null,null,null,null,null,null,,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg
125,Blue Beetle II,null,45,null,null,null,null,Theodore Kord,DC Comics,good,Male,null,183 cm,86 kg,Blue,Brown,"Inventor, President of Kord Omniversal, Crimefighter",https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg
126,Blue Beetle III,50,34,58,80,100,30,Jaime Reyes,DC Comics,good,Male,Human,0 cm,0 kg,Brown,Black,Student,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg
127,Boba Fett,63,10,38,36,68,70,,George Lucas,bad,Male,Human / Clone,183 cm,0 kg,Brown,Black,Bounty Hunter,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg
128,Bolt,null,null,null,null,null,null,,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg
129,Bomb Queen,null,73,null,null,null,null,,Image Comics,bad,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg
130,Boom-Boom,38,10,12,42,57,64,Tabitha Smith,Meltdown,good,Female,Mutant,165 cm,55 kg,Blue,Blond,"Adventurer, former student, thief",https://www.superherodb.com/pictures2/portraits/10/100/400.jpg
131,Boomer,null,null,null,null,null,null,,Marvel Comics,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg
132,Booster Gold,69,85,42,70,100,40,Michael Jon Carter,DC Comics,good,Male,Human,196 cm,97 kg,Blue,Blond,"Superhero, Founder, C.E.O & Chairman of Booster Gold International",https://www.superherodb.com/pictures2/portraits/10/100/647.jpg
133,Box,null,null,null,null,null,null,Roger Bochs,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg
134,Box III,null,null,null,null,null,null,Dr. Walter Langowski,Marvel Comics,good,-,null,193 cm,110 kg,Blue,Blond,"Physics professor, former NFL player",https://www.superherodb.com/pictures2/portraits/10/100/37.jpg
135,Box IV,50,75,23,28,11,56,Madison Jeffries,Gemini V,good,-,null,0 cm,0 kg,Brown,Brown / Black,"Inventor, former soldier",https://www.superherodb.com/pictures2/portraits/10/100/38.jpg
